congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,party_name,n_members,nominate_dim1_median,nominate_dim2_median,nominate_dim1_mean,nominate_dim2_mean,prob_nom,n_prob_nom
117,Senate,14858,13,0.0,NY,100,,,"SCHUMER, Charles Ellis (Chuck)",S000148,1950.0,,-0.355,-0.418,-48.523340000000005,0.94705,892.0,15.0,,-0.242,-0.617,Democrat,49,-0.348,-0.121,-0.3481224489795918,-0.11077551020408163,97.79260485651211,949.0
117,Senate,20735,13,0.0,NY,100,,,"GILLIBRAND, Kirsten",G000555,1966.0,,-0.469,-0.40299999999999997,-15.64546,0.9827100000000001,897.0,7.0,,-0.385,-0.521,Democrat,49,-0.348,-0.121,-0.3481224489795918,-0.11077551020408163,98.75993377483434,949.0
117,Senate,29548,47,0.0,NC,200,,,"BURR, Richard M.",B001135,1955.0,,0.435,-0.07,-207.32327,0.7652800000000001,775.0,100.0,,0.363,0.07400000000000001,Republican,51,0.504,-0.001,0.5243137254901961,0.02382352941176469,82.29988962472406,949.0
117,Senate,41504,47,0.0,NC,200,,,"TILLIS, Thomas Roland (Thom)",T000476,1960.0,,0.395,-0.102,-238.64692999999997,0.75446,847.0,108.0,,0.39899999999999997,-0.152,Republican,51,0.504,-0.001,0.5243137254901961,0.02382352941176469,81.59812362030924,949.0
117,Senate,21350,36,0.0,ND,200,,,"CRAMER, Kevin",C001096,1961.0,,0.4,0.38299999999999995,-148.06144,0.8285,787.0,66.0,,0.386,0.532,Republican,51,0.504,-0.001,0.5243137254901961,0.02382352941176469,87.21699779249442,949.0
117,Senate,41107,36,0.0,ND,200,,,"HOEVEN, John",H001061,1957.0,,0.395,0.45299999999999996,-133.01362,0.8595700000000001,879.0,63.0,,0.44299999999999995,0.461,Republican,51,0.504,-0.001,0.5243137254901961,0.02382352941176469,88.73476821192054,949.0
117,Senate,29386,24,0.0,OH,200,,,"PORTMAN, Robert Jones (Rob)",P000449,1955.0,,0.371,-0.20800000000000002,-201.86383,0.7922899999999999,867.0,82.0,,0.33799999999999997,-0.061,Republican,51,0.504,-0.001,0.5243137254901961,0.02382352941176469,82.89768211920524,949.0
117,Senate,29389,24,0.0,OH,100,,,"BROWN, Sherrod",B000944,1952.0,,-0.426,-0.102,-13.457070000000002,0.9850899999999999,896.0,6.0,,-0.402,-0.094,Democrat,49,-0.348,-0.121,-0.3481224489795918,-0.11077551020408163,98.96766004415011,949.0
117,Senate,15424,53,0.0,OK,200,,,"INHOFE, James Mountain",I000024,1934.0,,0.552,0.045,-123.1535,0.8587899999999999,809.0,49.0,,0.539,0.111,Republican,51,0.504,-0.001,0.5243137254901961,0.02382352941176469,89.53134657836645,949.0
117,Senate,21166,53,0.0,OK,200,,,"LANKFORD, James",L000575,1968.0,,0.6,0.13699999999999998,-97.74028,0.8970899999999999,900.0,35.0,,0.67,0.001,Republican,51,0.504,-0.001,0.5243137254901961,0.02382352941176469,92.23752759381895,949.0
117,Senate,14871,72,0.0,OR,100,,,"WYDEN, Ronald Lee",W000779,1949.0,,-0.33,-0.48200000000000004,-16.87431,0.98134,896.0,9.0,,-0.349,-0.5720000000000001,Democrat,49,-0.348,-0.121,-0.3481224489795918,-0.11077551020408163,98.70121412803537,949.0
117,Senate,40908,72,0.0,OR,100,,,"MERKLEY, Jeff",M001176,1956.0,,-0.445,-0.7340000000000001,-24.24032,0.97249,869.0,8.0,,-0.45899999999999996,-0.6559999999999999,Democrat,49,-0.348,-0.121,-0.3481224489795918,-0.11077551020408163,98.47461368653418,949.0
117,Senate,29935,14,0.0,PA,200,,,"TOOMEY, Patrick Joseph",T000461,1961.0,,0.624,-0.37799999999999995,-195.04865,0.7841100000000001,802.0,102.0,,0.614,-0.48700000000000004,Republican,51,0.504,-0.001,0.5243137254901961,0.02382352941176469,84.61600441501105,949.0
117,Senate,40703,14,0.0,PA,100,,,"CASEY, Robert (Bob), Jr.",C001070,1960.0,,-0.313,0.165,-21.32984,0.9763700000000001,892.0,7.0,,-0.29600000000000004,0.046,Democrat,49,-0.348,-0.121,-0.3481224489795918,-0.11077551020408163,98.51512141280351,949.0
117,Senate,29142,5,0.0,RI,100,,,"REED, John F. (Jack)",R000122,1949.0,,-0.36700000000000005,-0.17300000000000001,-11.26891,0.9876,903.0,4.0,,-0.384,-0.235,Democrat,49,-0.348,-0.121,-0.3481224489795918,-0.11077551020408163,99.0803532008829,949.0
117,Senate,40704,5,0.0,RI,100,,,"WHITEHOUSE, Sheldon",W000802,1955.0,,-0.355,-0.086,-13.463029999999998,0.9850700000000001,895.0,5.0,,-0.37,-0.187,Democrat,49,-0.348,-0.121,-0.3481224489795918,-0.11077551020408163,98.9873068432671,949.0
117,Senate,21173,48,0.0,SC,200,,,"SCOTT, Tim",S001184,1965.0,,0.63,-0.001,-141.97634,0.85209,887.0,58.0,,0.611,0.009000000000000001,Republican,51,0.504,-0.001,0.5243137254901961,0.02382352941176469,90.24381898454739,949.0
117,Senate,29566,48,0.0,SC,200,,,"GRAHAM, Lindsey O.",G000359,1955.0,,0.37,-0.276,-244.12919,0.74465,828.0,147.0,,0.318,-0.353,Republican,51,0.504,-0.001,0.5243137254901961,0.02382352941176469,79.11501103752765,949.0
117,Senate,29754,37,0.0,SD,200,,,"THUNE, John",T000250,1961.0,,0.429,0.223,-141.78245,0.8538,897.0,55.0,,0.465,0.26899999999999996,Republican,51,0.504,-0.001,0.5243137254901961,0.02382352941176469,88.10309050772605,949.0
117,Senate,41505,37,0.0,SD,200,,,"ROUNDS, Marion Michael (Mike)",R000605,1954.0,,0.349,0.099,-183.92084,0.77179,710.0,89.0,,0.35700000000000004,0.04,Republican,51,0.504,-0.001,0.5243137254901961,0.02382352941176469,82.2290286975717,949.0
