congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2,party_name,n_members,nominate_dim1_median,nominate_dim2_median,nominate_dim1_mean,nominate_dim2_mean,prob_nom,n_prob_nom
50,House,7961,45,6.0,LA,100,5.0,1.0,"ROBERTSON, Edward White",R000321,1823.0,1887.0,-0.341,-0.084,,,,,,,,Democrat,171,-0.379,-0.1825,-0.3702529411764705,-0.1956176470588236,,
50,House,7964,45,6.0,LA,100,0.0,2.0,"ROBERTSON, Samuel Matthews",R000324,1852.0,1911.0,-0.36,-0.2,-69.52908000000001,0.6629999999999999,169.0,36.0,,-0.40299999999999997,-0.529,Democrat,171,-0.379,-0.1825,-0.3702529411764705,-0.1956176470588236,74.55000000000007,320.0
50,House,10122,45,1.0,LA,100,0.0,1.0,"WILKINSON, Theodore Stark",W000477,1847.0,1921.0,-0.243,-0.7909999999999999,-59.50669,0.721,182.0,23.0,,-0.205,-0.759,Democrat,171,-0.379,-0.1825,-0.3702529411764705,-0.1956176470588236,72.66250000000002,320.0
50,House,888,2,4.0,ME,200,0.0,1.0,"BOUTELLE, Charles Addison",B000673,1839.0,1901.0,0.535,-0.19899999999999998,-20.55561,0.89,177.0,6.0,,0.489,-0.16699999999999998,Republican,154,0.39799999999999996,0.048,0.3946405228758171,0.046895424836601335,89.69703703703702,320.0
50,House,2606,2,2.0,ME,200,0.0,1.0,"DINGLEY, Nelson, Jr.",D000356,1832.0,1899.0,0.43700000000000006,0.048,-27.522009999999998,0.843,161.0,12.0,,0.38799999999999996,-0.034,Republican,154,0.39799999999999996,0.048,0.3946405228758171,0.046895424836601335,88.7433333333334,320.0
50,House,6523,2,3.0,ME,200,0.0,1.0,"MILLIKEN, Seth Llewellyn",M000769,1831.0,1897.0,0.39299999999999996,-0.052000000000000005,-20.85701,0.8690000000000001,148.0,5.0,,0.44,-0.33899999999999997,Republican,154,0.39799999999999996,0.048,0.3946405228758171,0.046895424836601335,89.9631970260223,320.0
50,House,7795,2,1.0,ME,200,0.0,1.0,"REED, Thomas Brackett",R000128,1839.0,1902.0,0.5710000000000001,-0.40399999999999997,-32.55816,0.8390000000000001,186.0,14.0,,0.485,-0.541,Republican,154,0.39799999999999996,0.048,0.3946405228758171,0.046895424836601335,87.65777777777782,320.0
50,House,1965,52,5.0,MD,100,0.0,1.0,"COMPTON, Barnes",C000660,1830.0,1898.0,-0.335,-0.49,-44.753440000000005,0.687,119.0,28.0,,-0.29100000000000004,-0.44,Democrat,171,-0.379,-0.1825,-0.3702529411764705,-0.1956176470588236,73.77712177121774,320.0
50,House,3557,52,1.0,MD,100,0.0,1.0,"GIBSON, Charles Hopper",G000157,1842.0,1900.0,-0.319,-0.564,-48.39598,0.691,131.0,23.0,,-0.361,-0.47700000000000004,Democrat,171,-0.379,-0.1825,-0.3702529411764705,-0.1956176470588236,72.8708487084871,320.0
50,House,6165,52,6.0,MD,200,0.0,1.0,"McCOMAS, Louis Emory",M000351,1846.0,1907.0,0.326,0.054000000000000006,-36.48292,0.745,124.0,15.0,,0.324,0.126,Republican,154,0.39799999999999996,0.048,0.3946405228758171,0.046895424836601335,86.88037037037034,320.0
50,House,7757,52,4.0,MD,100,0.0,1.0,"RAYNER, Isidor",R000086,1850.0,1912.0,-0.29600000000000004,-0.537,-42.2519,0.6409999999999999,95.0,24.0,,-0.245,-0.319,Democrat,171,-0.379,-0.1825,-0.3702529411764705,-0.1956176470588236,71.50330882352942,320.0
